Source,Target,Type,Weight,TitleType
nm0453993,tt15000566,Undirected,1,movie
nm0455767,tt10016180,Undirected,1,movie
nm0456031,tt10601552,Undirected,1,movie
nm0456343,tt13376018,Undirected,1,movie
nm0456812,tt9620288,Undirected,1,movie
nm0457325,tt14470574,Undirected,1,movie
nm0457767,tt11771006,Undirected,1,movie
nm0459110,tt2382320,Undirected,1,movie
nm0460425,tt4546694,Undirected,1,movie
nm0461865,tt8114980,Undirected,1,movie
nm0461924,tt15096446,Undirected,1,movie
nm0463242,tt2231874,Undirected,1,movie
nm0463257,tt0993840,Undirected,1,movie
nm0464115,tt14775586,Undirected,1,movie
nm0464132,tt13618674,Undirected,1,movie
nm0467639,tt10293406,Undirected,1,movie
nm0468190,tt9371666,Undirected,1,movie
nm0469753,tt9173154,Undirected,1,movie
nm0469805,tt8801666,Undirected,1,movie
nm0469823,tt11389748,Undirected,1,movie
nm0470646,tt2382320,Undirected,1,movie
nm0471538,tt18336384,Undirected,1,movie
nm0471585,tt11385506,Undirected,1,movie
nm0472866,tt2953050,Undirected,1,movie
nm0473277,tt12337804,Undirected,1,movie
nm0474702,tt13948480,Undirected,1,movie
nm0474891,tt14922300,Undirected,1,movie
nm0474985,tt15000490,Undirected,1,movie
